305,2250,NaN,70.00 - 79.00,A,Y
306,2250,NaN,60.00 - 69.00,B,Y
307,2250,NaN,50.00 - 59.00,C,Y
308,2250,P,NaN,S,Y
309,2250,NaN,1.00 - 49.00,F,Y
311,2251,H1,80.00 - 100.00,A,Y
312,2251,H2A,75.00 - 79.00,A-,Y
313,2251,H2B,70.00 - 74.00,B+,Y
314,2251,H3,65.00 - 69.00,B,Y
315,2251,P,50.00 - 64.00,C,Y
316,2251,N,0.00 - 49.00,F,Y
318,2252,HD,NaN,A+,Y
319,2252,A,NaN,A,Y
320,2252,B,NaN,B,Y
321,2252,C,NaN,C,Y
322,2252,F,NaN,F,Y
323,2252,P,NaN,S,Y
325,2253,HD,NaN,A+,Y
326,2253,DN,NaN,A,Y
327,2253,CR,NaN,B,Y
328,2253,PP,NaN,C,Y
329,2253,FP,NaN,D,Y
330,2253,NN,NaN,F,Y
332,2254,HD,65.00 - 100.00,A+,Y
333,2254,D,75.00 - 84.00,A,Y
334,2254,CR,65.00 - 74.00,B,Y
335,2254,P,50.00 - 64.00,C,Y
336,2254,F,0.00 - 49.00,F,Y
338,2255,A,NaN,A,Y
339,2255,B,NaN,AB,Y
340,2255,C,NaN,B,Y
341,2255,D,NaN,BC,Y
342,2255,E,NaN,C,Y
343,2255,Z,NaN,S,Y
344,2255,FX,NaN,F,Y
345,2255,F,NaN,F,Y
347,2256,NaN,1.00 - 1.99,A,Y
348,2256,NaN,2.00 - 2.99,A-,Y
349,2256,NaN,3.00 - 3.99,B,Y
350,2256,NaN,4.00 - 4.99,C,Y
351,2256,NaN,5.00 - 5.00,F,Y
353,2257,NaN,5.00,A,Y
354,2257,NaN,4.00 - 4.99,B,Y
355,2257,NaN,3.00 - 3.99,C,Y
356,2257,P,NaN,P,Y
357,2257,NaN,NaN,F,Y
359,2258,A,NaN,A,Y
360,2258,B,NaN,AB,Y
361,2258,C,NaN,B,Y
362,2258,D,NaN,BC,Y
363,2258,E,NaN,C,Y
364,2258,Z,NaN,S,Y
365,2258,FX,NaN,F,Y
366,2258,F,NaN,F,Y
368,2259,A,NaN,A,Y
369,2259,B,NaN,B,Y
370,2259,C,NaN,B,Y
371,2259,D,NaN,C,Y
372,2259,E,NaN,C,Y
373,2259,F,NaN,D,Y
374,2259,G,NaN,D,Y
375,2259,H,NaN,F,Y
377,2260,A,90.00 - 100.00,A,Y
378,2260,A-,85.00 - 89.00,A-,Y
379,2260,B+,80.00 - 84.00,B+,Y
380,2260,B,75.00 - 79.00,B,Y
381,2260,B-,70.00 - 74.00,B-,Y
382,2260,C+,65.00 - 69.00,C+,Y
383,2260,C,60.00 - 64.00,C,Y
384,2260,C-,55.00 - 59.00,C-,Y
385,2260,D,50.00 - 54.00,D,Y
386,2260,U,NaN,F,Y
387,2260,F,0.00 - 49.00,F,Y
388,2260,P,NaN,P,Y
389,2260,S,NaN,P,Y
390,2260,AG,NaN,-,Y
391,2260,AU,NaN,-,Y
392,2260,T,NaN,-,Y
393,2260,V,NaN,-,Y
394,2260,XE,NaN,-,Y
396,2261,A,90.00 - 100.00,A,Y
397,2261,A-,87.00 - 89.99,A-,Y
398,2261,B+,84.00 - 86.99,B+,Y
399,2261,B,80.00 - 83.99,B,Y
400,2261,B-,77.00 - 79.99,B-,Y
401,2261,C+,74.00 - 76.99,C+,Y
402,2261,C,70.00 - 73.99,C,Y
403,2261,C-,67.00 - 69.99,C-,Y
404,2261,D+,64.00 - 66.99,D+,Y
405,2261,D,60.00 - 63.99,D,Y
406,2261,F,0.00 - 59.99,F,Y
408,2262,NaN,60.00 - 100.00,A,Y
409,2262,NaN,55.00 - 59.99,AB,Y
410,2262,NaN,50.00 - 54.99,B,Y
411,2262,NaN,43.00 - 49.99,BC,Y
412,2262,NaN,35.00 - 42.99,C,Y
413,2262,NaN,0.00 - 34.99,F,Y
415,2263,A+,5.00,A+,Y
416,2263,A,4.00 - 4.99,A,Y
417,2263,A-,3.50 - 3.99,AB,Y
418,2263,B,3.00 - 3.49,B,Y
419,2263,C,2.00 - 2.99,C,Y
420,2263,D,1.00 - 1.99,D,Y
421,2263,F,0.00 - 0.99,F,Y
423,2264,A+,80.00 - 100.00,A,Y
424,2264,A,75.00 - 79.00,A,Y
425,2264,A-,70.00 - 74.00,A-,Y
426,2264,B+,65.00 - 69.00,B+,Y
427,2264,B,60.00 - 64.00,B,Y
428,2264,B-,55.00 - 59.00,B-,Y
429,2264,C+,50.00 - 54.00,C+,Y
430,2264,C,45.00 - 49.00,C,Y
431,2264,C-,40.00 - 44.00,C-,Y
432,2264,D,40.00 - 44.00,C-,Y
433,2264,F,0.00 - 39.00,F,Y
435,2265,A+,NaN,A+,Y
436,2265,A,NaN,A,Y
437,2265,A-,NaN,A-,Y
438,2265,B+,NaN,B+,Y
439,2265,B,NaN,B,Y
440,2265,B-,NaN,B-,Y
441,2265,C+,NaN,C+,Y
442,2265,C,NaN,C,Y
443,2265,C-,NaN,C-,Y
444,2265,D+,NaN,D+,Y
445,2265,D,NaN,D,Y
446,2265,D-,NaN,D-,Y
447,2265,F,NaN,F,Y
449,2266,NaN,60.00 - 100.00,A,Y
450,2266,NaN,45.00 - 59.99,B,Y
451,2266,NaN,36.00 - 44.99,C,Y
452,2266,NaN,0.00 - 35.99,F,Y
454,2267,I,NaN,A,Y
455,2267,II,NaN,B,Y
456,2267,III,NaN,C,Y
457,2267,IV,NaN,D,Y
458,2267,V,NaN,F,Y
460,2268,I,NaN,A,Y
461,2268,II,NaN,B,Y
462,2268,III,NaN,C,Y
463,2268,IV,NaN,D,Y
464,2268,V,NaN,D,Y
465,2268,VI,NaN,F,Y
467,2269,I,NaN,A+,Y
468,2269,II,NaN,A,Y
469,2269,III,NaN,B,Y
470,2269,IV,NaN,C,Y
471,2269,V,NaN,C,Y
472,2269,VI,NaN,D,Y
473,2269,VII,NaN,F,Y
475,2270,NaN,NaN,A,Y
476,2270,NaN,NaN,AB,Y
477,2270,NaN,NaN,B,Y
478,2270,NaN,NaN,C,Y
480,2271,A,85.00 - 100.00,A,Y
481,2271,A-,80.00 - 84.99,A-,Y
482,2271,B+,75.00 - 79.99,B+,Y
483,2271,B,70.00 - 74.99,B,Y
484,2271,B-,65.00 - 69.99,B-,Y
485,2271,C+,60.00 - 64.99,C+,Y
486,2271,C,55.00 - 59.99,C,Y
487,2271,C-,50.00 - 54.99,C-,Y
488,2271,D,40.00 - 49.99,F,Y
489,2271,E,0.00 - 39.99,F,Y
491,2272,NaN,10.00,A+,Y
492,2272,NaN,9.00,A,Y
493,2272,NaN,8.00,A-,Y
494,2272,NaN,7.00,B+,Y
495,2272,NaN,6.00,B,Y
496,2272,NaN,5.00,B-,Y
497,2272,NaN,4.00,C+,Y
498,2272,NaN,3.00,C,Y
499,2272,NaN,0.00 - 2.00,F,Y
500,2272,NaN,NaN,S,Y
502,2273,A,NaN,A,Y
503,2273,B,NaN,AB,Y
504,2273,C,NaN,B,Y
505,2273,D,NaN,BC,Y
506,2273,E,NaN,C,Y
507,2273,Z,NaN,S,Y
508,2273,FX,NaN,F,Y
509,2273,F,NaN,F,Y
511,2275,10,NaN,A+,Y
512,2275,9,NaN,A,Y
513,2275,8,NaN,B+,Y
514,2275,7,NaN,B,Y
515,2275,6,NaN,B-,Y
516,2275,5,NaN,C+,Y
517,2275,4,NaN,C,Y
518,2275,3,NaN,F,Y
519,2275,2,NaN,F,Y
520,2275,1,NaN,F,Y
522,2276,A,NaN,A,Y
523,2276,B,NaN,AB,Y
524,2276,C,NaN,B,Y
525,2276,D,NaN,BC,Y
526,2276,E,NaN,C,Y
527,2276,Z,NaN,S,Y
528,2276,FX,NaN,F,Y
529,2276,F,NaN,F,Y
531,2277,NaN,20.00,A+,Y
532,2277,NaN,18.00 - 19.99,A+,Y
533,2277,NaN,16.00 - 17.99,A,Y
534,2277,NaN,14.00 - 15.99,B,Y
535,2277,NaN,12.00 - 13.99,C,Y
536,2277,NaN,10.00 - 11.99,C-,Y
537,2277,NaN,8.00 - 9.99,F,Y
538,2277,NaN,0.00 - 7.99,F,Y
540,2278,NaN,20.00,A+,Y
541,2278,NaN,18.00 - 19.99,A,Y
542,2278,NaN,16.00 - 17.99,A-,Y
543,2278,NaN,13.00 - 15.99,B,Y
544,2278,NaN,10.00 - 12.99,C,Y
545,2278,NaN,0.00 - 9.99,F,Y
547,2279,A,95.00 - 100.00,A,Y
548,2279,A-,90.00 - 94.99,A-,Y
549,2279,B+,85.00 - 89.99,B+,Y
550,2279,B,80.00 - 84.99,B,Y
551,2279,B-,75.00 - 79.99,B-,Y
552,2279,C+,70.00 - 74.99,C+,Y
553,2279,C,65.00 - 69.99,C,Y
554,2279,C-,60.00 - 64.99,C-,Y
555,2279,D+,55.00 - 59.99,D+,Y
556,2279,D,50.00 - 54.99,D,Y
557,2279,F,0.00 - 49.99,F,Y
559,2280,I,NaN,A,Y
560,2280,II,NaN,B,Y
561,2280,III,NaN,C,Y
562,2280,IV,NaN,D,Y
563,2280,V,NaN,F,Y
565,2281,I,NaN,A,Y
566,2281,II,NaN,B,Y
567,2281,III,NaN,C,Y
568,2281,IV,NaN,D,Y
569,2281,V,NaN,D,Y
570,2281,VI,NaN,F,Y
572,2282,I,NaN,A+,Y
573,2282,II,NaN,A,Y
574,2282,III,NaN,B,Y
575,2282,IV,NaN,C,Y
576,2282,V,NaN,C,Y
577,2282,VI,NaN,D,Y
578,2282,VII,NaN,F,Y
580,2284,THF,18.00 - 20.00,A+,Y
581,2284,TB,16.00 - 17.99,A,Y
582,2284,B,14.00 - 15.99,A-,Y
583,2284,AB,12.00 - 13.99,B,Y
584,2284,P,10.00 - 11.99,C,Y
585,2284,CP,NaN,D,Y
586,2284,S,NaN,S,Y
587,2284,E,0.00 - 9.99,F,Y
589,2285,A,70.00 - 100.00,A,Y
590,2285,B,60.00 - 69.00,B+,Y
591,2285,C,50.00 - 59.00,B,Y
592,2285,D,45.00 - 49.00,C+,Y
593,2285,E,40.00 - 44.00,C,Y
594,2285,F,0.00 - 39.00,F,Y
596,2286,NaN,85.00 - 100.00,A+,Y
597,2286,NaN,75.00 - 84.00,A,Y
598,2286,NaN,65.00 - 74.00,B,Y
599,2286,NaN,50.00 - 64.00,C,Y
600,2286,NaN,0.00 - 49.00,F,Y
602,2287,A,4.00,A,Y
603,2287,A-,3.67,A-,Y
604,2287,B+,3.33,B+,Y
605,2287,B,3.00,B,Y
606,2287,B-,2.67,B-,Y
607,2287,C+,2.33,C+,Y
608,2287,C,2.00,C,Y
609,2287,C-,1.67,C-,Y
610,2287,D+,1.33,D+,Y
611,2287,D,1.00,D,Y
612,2287,F,0.00,F,Y
614,2288,NaN,80.00 - 100.00,A,Y
615,2288,NaN,65.00 - 79.00,B,Y
616,2288,NaN,50.00 - 64.00,C,Y
617,2288,NaN,35.00 - 49.00,C,Y
618,2288,NaN,0.00 - 34.00,F,Y
620,2289,A,NaN,A,Y
621,2289,B,NaN,B,Y
622,2289,C,NaN,C,Y
623,2289,D,NaN,D,Y
624,2289,E,NaN,F,Y
626,2290,NaN,1.00 - 2.00,A,Y
627,2290,NaN,3.00 - 5.00,B,Y
628,2290,NaN,6.00 - 7.00,C,Y
629,2290,NaN,8.00 - 9.00,F,Y
631,2291,NaN,80.00 - 100.00,A,Y
632,2291,NaN,70.00 - 79.90,B+,Y
633,2291,NaN,60.00 - 69.99,B,Y
634,2291,NaN,50.00 - 59.99,C,Y
635,2291,NaN,0.00 - 49.99,F,Y
637,2292,NaN,7.00,A,Y
638,2292,NaN,6.00 - 6.99,A,Y
639,2292,NaN,5.00 - 5.99,B,Y
640,2292,NaN,4.00 - 4.99,C,Y
641,2292,NaN,3.60 - 3.99,D,Y
642,2292,NaN,3.00 - 3.59,F,Y
643,2292,NaN,2.00 - 2.99,F,Y
644,2292,NaN,1.00 - 1.99,F,Y
646,2293,NaN,90.00 - 100.00,A,Y
647,2293,NaN,77.00 - 89.99,A-,Y
648,2293,NaN,64.00 - 76.99,B,Y
649,2293,NaN,51.00 - 63.99,C,Y
650,2293,NaN,0.00 - 50.99,F,Y
652,2294,NaN,90.00 - 100.00,A,Y
653,2294,NaN,80.00 - 89.99,AB,Y
654,2294,NaN,70.00 - 79.99,B,Y
655,2294,NaN,60.00 - 69.99,BC,Y
656,2294,NaN,51.00 - 59.99,C,Y
657,2294,NaN,0.00 - 50.99,F,Y
659,2283,A+,90.00 - 100.00,A+,Y
660,2283,A,85.00 - 89.00,A,Y
661,2283,A-,80.00 - 84.00,A-,Y
662,2283,B+,75.00 - 79.00,B+,Y
663,2283,B,70.00 - 74.00,B,Y
664,2283,B-,68.00 - 69.00,B-,Y
665,2283,C+,60.00 - 64.00,C+,Y
666,2283,C,55.00 - 59.00,C,Y
667,2283,C-,50.00 - 54.00,C-,Y
668,2283,D+,NaN,D+,Y
669,2283,D,40.00 - 49.00,D,Y
670,2283,E,NaN,F,Y
671,2283,F,NaN,F,Y
673,2299,A,80.00 - 100.00,A,Y
674,2299,B,70.00 - 79.99,AB,Y
675,2299,C,60.00 - 69.99,B,Y
